Species,IslandGroup,DemClass,Month,MonthLength,Device,Age,BreedStage,IdealDist,NumDays,HalfOnNest,RepAge,RepBreedStage,value
Amsterdam Albatross,Amsterdam and St Paul,theta,5,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q2_Q3,31,FALSE,immature_juvenile_immature,non-breeding_Q2_Q3,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,6,30,GPSorPTTorGLS,immature,non-breeding,IMM_Q2_Q3,30,FALSE,immature_juvenile_immature,non-breeding_Q2_Q3,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,7,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q2_Q3,31,FALSE,immature_juvenile_immature,non-breeding_Q2_Q3,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,8,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q2_Q3,31,FALSE,immature_juvenile_immature,non-breeding_Q2_Q3,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,9,30,GPSorPTTorGLS,immature,non-breeding,IMM_Q2_Q3,30,FALSE,immature_juvenile_immature,non-breeding_Q2_Q3,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,10,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,31,FALSE,immature_juvenile_immature,non-breeding_Q4_Q1,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,11,30,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,30,FALSE,immature_juvenile_immature,non-breeding_Q4_Q1,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,theta,12,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,31,FALSE,immature_juvenile_immature,non-breeding_Q4_Q1,148.4276972
Amsterdam Albatross,Amsterdam and St Paul,zeta,1,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,2,28,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,28,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,3,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,4,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,5,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,6,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,7,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,8,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,9,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile,non-breeding_Q2_Q3,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,10,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,11,30,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,30,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Amsterdam Albatross,Amsterdam and St Paul,zeta,12,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile,non-breeding_Q4_Q1,32.84438964
Antipodean Albatross,Antipodes Islands,beta,1,31,GPSorPTT,adult,pre-laying,PRE-L,24,TRUE,adult,pre-egg,4734
Antipodean Albatross,Antipodes Islands,beta,1,31,GPSorPTT,adult,incubation,INC,7,TRUE,adult,incubation,4734
Antipodean Albatross,Antipodes Islands,beta,2,28,GPSorPTT,adult,incubation,INC,28,TRUE,adult,incubation,4734
Antipodean Albatross,Antipodes Islands,beta,3,31,GPSorPTT,adult,incubation,INC,31,TRUE,adult,incubation,4734
Antipodean Albatross,Antipodes Islands,beta,4,30,GPSorPTT,adult,incubation,INC,13,TRUE,adult,incubation,4734
Antipodean Albatross,Antipodes Islands,beta,4,30,GPSorPTT,adult,brood-guard,BR,17,TRUE,adult,brood-guard,4734
Antipodean Albatross,Antipodes Islands,beta,5,31,GPSorPTT,adult,brood-guard,BR,13,TRUE,adult,brood-guard,4734
Antipodean Albatross,Antipodes Islands,beta,5,31,GPSorPTT,adult,post-brood,PB,18,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,6,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,7,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,8,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,9,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,10,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,11,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,beta,12,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4734
Antipodean Albatross,Antipodes Islands,delta,1,31,GPSorPTTorGLS,adult,non-breeding,NB_Q1,31,FALSE,adult,non-breeding_Q1,8244.969325
Antipodean Albatross,Antipodes Islands,delta,2,28,GPSorPTTorGLS,adult,non-breeding,NB_Q1,28,FALSE,adult,non-breeding_Q1,8244.969325
Antipodean Albatross,Antipodes Islands,delta,3,31,GPSorPTTorGLS,adult,non-breeding,NB_Q1,31,FALSE,adult,non-breeding_Q1,8244.969325
Antipodean Albatross,Antipodes Islands,delta,4,30,GPSorPTTorGLS,adult,non-breeding,NB_Q2,30,FALSE,adult,non-breeding_Q2,8244.969325
Antipodean Albatross,Antipodes Islands,delta,5,31,GPSorPTTorGLS,adult,non-breeding,NB_Q2,31,FALSE,adult,non-breeding_Q2,8244.969325
Antipodean Albatross,Antipodes Islands,delta,6,30,GPSorPTTorGLS,adult,non-breeding,NB_Q2,30,FALSE,adult,non-breeding_Q2,8244.969325
Antipodean Albatross,Antipodes Islands,delta,7,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,8244.969325
Antipodean Albatross,Antipodes Islands,delta,8,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,8244.969325
Antipodean Albatross,Antipodes Islands,delta,9,30,GPSorPTTorGLS,adult,non-breeding,NB_Q3,30,FALSE,adult,non-breeding_Q3,8244.969325
Antipodean Albatross,Antipodes Islands,delta,10,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,8244.969325
Antipodean Albatross,Antipodes Islands,delta,11,30,GPSorPTTorGLS,adult,non-breeding,NB_Q4,30,FALSE,adult,non-breeding_Q4,8244.969325
Antipodean Albatross,Antipodes Islands,delta,12,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,8244.969325
Antipodean Albatross,Antipodes Islands,gamma,1,31,GPSorPTT,adult,pre-laying,PRE-L,24,TRUE,adult,pre-egg,3156
Antipodean Albatross,Antipodes Islands,gamma,1,31,GPSorPTT,adult,incubation,INC,7,TRUE,adult,incubation,3156
Antipodean Albatross,Antipodes Islands,gamma,2,28,GPSorPTT,adult,incubation,INC,28,TRUE,adult,incubation,3156
Antipodean Albatross,Antipodes Islands,gamma,3,31,GPSorPTT,adult,incubation,INC,31,TRUE,adult,incubation,3156
Antipodean Albatross,Antipodes Islands,gamma,4,30,GPSorPTT,adult,incubation,INC,13,TRUE,adult,incubation,3156
Antipodean Albatross,Antipodes Islands,gamma,4,30,GPSorPTT,adult,brood-guard,BR,17,TRUE,adult,brood-guard,3156
Antipodean Albatross,Antipodes Islands,gamma,5,31,GPSorPTT,adult,brood-guard,BR,13,TRUE,adult,brood-guard,3156
Antipodean Albatross,Antipodes Islands,gamma,5,31,GPSorPTT,adult,post-brood,PB,18,FALSE,adult,post-guard,3156
Antipodean Albatross,Antipodes Islands,gamma,6,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,3156
Antipodean Albatross,Antipodes Islands,gamma,7,31,GPSorPTT,adult,post-brood,PB,22,FALSE,adult,post-guard,3156
Antipodean Albatross,Antipodes Islands,gamma,7,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,9,FALSE,adult,non-breeding_Q3,3156
Antipodean Albatross,Antipodes Islands,gamma,8,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,3156
Antipodean Albatross,Antipodes Islands,gamma,9,30,GPSorPTTorGLS,adult,non-breeding,NB_Q3,30,FALSE,adult,non-breeding_Q3,3156
Antipodean Albatross,Antipodes Islands,gamma,10,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,3156
Antipodean Albatross,Antipodes Islands,gamma,11,30,GPSorPTTorGLS,adult,non-breeding,NB_Q4,30,FALSE,adult,non-breeding_Q4,3156
Antipodean Albatross,Antipodes Islands,gamma,12,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,3156
Antipodean Albatross,Antipodes Islands,theta,1,31,GPSorPTT,immature,non-breeding,IMM_Q4_Q1,31,FALSE,juvenile_immature,non-breeding_Q1,15566.64845
Antipodean Albatross,Antipodes Islands,theta,2,28,GPSorPTT,immature,non-breeding,IMM_Q4_Q1,28,FALSE,juvenile_immature,non-breeding_Q1,15566.64845
Antipodean Albatross,Antipodes Islands,theta,3,31,GPSorPTT,immature,non-breeding,IMM_Q4_Q1,31,FALSE,juvenile_immature,non-breeding_Q1,15566.64845
Antipodean Albatross,Antipodes Islands,theta,4,30,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,5,31,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,6,30,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,7,31,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,8,31,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,9,30,GPSorPTT,immature,non-breeding,IMM_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,15566.64845
Antipodean Albatross,Antipodes Islands,theta,10,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,31,FALSE,adult,non-breeding_Q4,15566.64845
Antipodean Albatross,Antipodes Islands,theta,11,30,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,30,FALSE,adult,non-breeding_Q4,15566.64845
Antipodean Albatross,Antipodes Islands,theta,12,31,GPSorPTTorGLS,immature,non-breeding,IMM_Q4_Q1,31,FALSE,adult,non-breeding_Q4,15566.64845
Antipodean Albatross,Antipodes Islands,zeta,1,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile_immature,non-breeding_Q1,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,2,28,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,28,FALSE,juvenile_immature,non-breeding_Q1,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,3,31,GPSorPTT,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,juvenile_immature,non-breeding_Q1,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,4,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,5,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,6,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,7,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,8,31,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,31,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,9,30,GPSorPTT,juvenile,non-breeding,JUV_Q2_Q3,30,FALSE,juvenile_immature,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,10,31,GPSorPTTorGLS,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,adult,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,11,30,GPSorPTTorGLS,juvenile,non-breeding,JUV_Q4_Q1,30,FALSE,adult,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Antipodes Islands,zeta,12,31,GPSorPTTorGLS,juvenile,non-breeding,JUV_Q4_Q1,31,FALSE,adult,non-breeding_Q2_Q3,2428.443658
Antipodean Albatross,Auckland Islands,beta,1,31,GPSorPTT,adult,pre-laying,PRE-L,6,TRUE,adult,pre-egg,4967.718
Antipodean Albatross,Auckland Islands,beta,1,31,GPSorPTT,adult,incubation,INC,25,TRUE,adult,incubation,4967.718
Antipodean Albatross,Auckland Islands,beta,2,28,GPSorPTT,adult,incubation,INC,28,TRUE,adult,incubation,4967.718
Antipodean Albatross,Auckland Islands,beta,3,31,GPSorPTT,adult,incubation,INC,26,TRUE,adult,incubation,4967.718
Antipodean Albatross,Auckland Islands,beta,3,31,GPSorPTT,adult,brood-guard,BR,5,TRUE,adult,brood-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,4,30,GPSorPTT,adult,brood-guard,BR,25,TRUE,adult,brood-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,4,30,GPSorPTT,adult,post-brood,PB,5,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,5,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,6,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,7,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,8,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,9,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,10,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,11,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,12,31,GPSorPTT,adult,post-brood,PB,12,FALSE,adult,post-guard,4967.718
Antipodean Albatross,Auckland Islands,beta,12,31,GPSorPTT,adult,pre-laying,PRE-L,19,TRUE,adult,pre-egg,4967.718
Antipodean Albatross,Auckland Islands,delta,1,31,GPSorPTTorGLS,adult,non-breeding,NB_Q1,31,FALSE,adult,non-breeding_Q1,10071.22388
Antipodean Albatross,Auckland Islands,delta,2,28,GPSorPTTorGLS,adult,non-breeding,NB_Q1,28,FALSE,adult,non-breeding_Q1,10071.22388
Antipodean Albatross,Auckland Islands,delta,3,31,GPSorPTTorGLS,adult,non-breeding,NB_Q1,31,FALSE,adult,non-breeding_Q1,10071.22388
Antipodean Albatross,Auckland Islands,delta,4,30,GPSorPTTorGLS,adult,non-breeding,NB_Q2,30,FALSE,adult,non-breeding_Q2,10071.22388
Antipodean Albatross,Auckland Islands,delta,5,31,GPSorPTTorGLS,adult,non-breeding,NB_Q2,31,FALSE,adult,non-breeding_Q2,10071.22388
Antipodean Albatross,Auckland Islands,delta,6,30,GPSorPTTorGLS,adult,non-breeding,NB_Q2,30,FALSE,adult,non-breeding_Q2,10071.22388
Antipodean Albatross,Auckland Islands,delta,7,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,10071.22388
Antipodean Albatross,Auckland Islands,delta,8,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,10071.22388
Antipodean Albatross,Auckland Islands,delta,9,30,GPSorPTTorGLS,adult,non-breeding,NB_Q3,30,FALSE,adult,non-breeding_Q3,10071.22388
Antipodean Albatross,Auckland Islands,delta,10,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,10071.22388
Antipodean Albatross,Auckland Islands,delta,11,30,GPSorPTTorGLS,adult,non-breeding,NB_Q4,30,FALSE,adult,non-breeding_Q4,10071.22388
Antipodean Albatross,Auckland Islands,delta,12,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,10071.22388
Antipodean Albatross,Auckland Islands,gamma,1,31,GPSorPTT,adult,pre-laying,PRE-L,6,TRUE,adult,pre-egg,6666.282
Antipodean Albatross,Auckland Islands,gamma,1,31,GPSorPTT,adult,incubation,INC,25,TRUE,adult,incubation,6666.282
Antipodean Albatross,Auckland Islands,gamma,2,28,GPSorPTT,adult,incubation,INC,28,TRUE,adult,incubation,6666.282
Antipodean Albatross,Auckland Islands,gamma,3,31,GPSorPTT,adult,incubation,INC,26,TRUE,adult,incubation,6666.282
Antipodean Albatross,Auckland Islands,gamma,3,31,GPSorPTT,adult,brood-guard,BR,5,TRUE,adult,brood-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,4,30,GPSorPTT,adult,brood-guard,BR,25,TRUE,adult,brood-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,4,30,GPSorPTT,adult,post-brood,PB,5,FALSE,adult,post-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,5,31,GPSorPTT,adult,post-brood,PB,31,FALSE,adult,post-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,6,30,GPSorPTT,adult,post-brood,PB,30,FALSE,adult,post-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,7,31,GPSorPTT,adult,post-brood,PB,4,FALSE,adult,post-guard,6666.282
Antipodean Albatross,Auckland Islands,gamma,7,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,27,FALSE,adult,non-breeding_Q3,6666.282
Antipodean Albatross,Auckland Islands,gamma,8,31,GPSorPTTorGLS,adult,non-breeding,NB_Q3,31,FALSE,adult,non-breeding_Q3,6666.282
Antipodean Albatross,Auckland Islands,gamma,9,30,GPSorPTTorGLS,adult,non-breeding,NB_Q3,30,FALSE,adult,non-breeding_Q3,6666.282
Antipodean Albatross,Auckland Islands,gamma,10,31,GPSorPTTorGLS,adult,non-breeding,NB_Q4,31,FALSE,adult,non-breeding_Q4,6666.282
Antipodean Albatross,Auckland Islands,gamma,11,30,GPSorPTTorGLS,adult,non-breeding,NB_Q4,30,FALSE,adult,non-breeding_Q4,6666.282
